,original_text,cleaned_text,lang,translation
3607,"Pr reprendre du territoire, il faut lancer les offensives.
Or jusque là, les FARDC font que défendre les positions qu'elles détiennent contre les attaques RDF déguisés M23.
Il faut qu'il y ait l'envie de reconquête et les OFFENSIVES pr ce faire.
Que le nouveau commandement agisse https://t.co/ZkMnwolZUs","Pr reprendre du territoire, il faut lancer les offensives.
Or jusque là, les FARDC font que défendre les positions qu'elles détiennent contre les attaques RDF déguisés M23.
Il faut qu'il y ait l'envie de reconquête et les OFFENSIVES pr ce faire.
Que le nouveau commandement agisse ",fr,"To take up the territory, we must launch the offensives.
However, until then, the FARDC make that defend the positions they hold against the disguised RDF attacks M23.
There must be the desire to reconquer and the offensives for doing this.
That the new command act"
3627,"Why did one Ethiopian town produce so many athletic stars?
#123INFO
https://t.co/OQz3qBNxlN","Why did one Ethiopian town produce so many athletic stars?

",fr,"Why did one Ethiopian town produce so many athletic stars?

"
3639,Ukraine struggles to get its wheat to the world https://t.co/MVE7BG7RY9 - source/editor :,Ukraine struggles to get its wheat to the world  - source/editor :,fr,Ukraine struggles to get its wheat to the world  - source/editor :
3640,Bei seinem Scan-Dienst Virustotal hat Google eine veraltete exiftool-Version eingesetzt. Eine Sicherheitslücke ermöglichte Forschern den Einbruch in den Dienst. #Cybersicherheit #Security https://t.co/2S7kzIPJll,Bei seinem Scan-Dienst Virustotal hat Google eine veraltete exiftool-Version eingesetzt. Eine Sicherheitslücke ermöglichte Forschern den Einbruch in den Dienst.,fr,Google has used an outdated exift tool version at his scan service Virustotal. A security gap enabled researchers to duty.
3646,Ukraine struggles to get its wheat to the world https://t.co/wfHDZKcyTO,Ukraine struggles to get its wheat to the world,fr,Ukraine struggles to get its wheat to the world
3679,"@Johnblanshe_m - Clearly counter-offensive operations against #M23 have not yet started.
- One needs to observe UG moves around Bunagana: Open the border on your side -&gt; Rw = UG -&gt; Uganda Airlines license will be revoked &amp; DRC-UG trades MoUs stopped. 
#RwandaIsKiling","- Clearly counter-offensive operations against  have not yet started.
- One needs to observe UG moves around Bunagana: Open the border on your side -&gt; Rw = UG -&gt; Uganda Airlines license will be revoked &amp; DRC-UG trades MoUs stopped. 
",fr,"- Clearly counter-offensive operations against  have not yet started.
- One needs to observe UG moves around Bunagana: Open the border on your side -&gt; Rw = UG -&gt; Uganda Airlines license will be revoked &amp; DRC-UG trades MoUs stopped. 
"
3692,"Donald Trump incited Capitol rioters after 'unhinged' meeting, says House panel
#123INFO
https://t.co/EGdT6bgm5Z","Donald Trump incited Capitol rioters after 'unhinged' meeting, says House panel

",fr,"Donald Trump incited Capitol rioters after 'unhinged' meeting, says House panel

"
3703,@ConorHogarty Removal of the ‘pause’ (paycut!) on increments will trigger follow-on claims from other PS workers under same conditions. As it should.,Removal of the ‘pause’ (paycut!) on increments will trigger follow-on claims from other PS workers under same conditions. As it should.,kiny,Removal of the ‘pause’ (paycut!) on increments will trigger follow-on claims from other PS workers under same conditions. As it should.
3736,"Nord Stream gas halt 'doesn't help Ukraine,' Slovene PM tells DW https://t.co/TsTq1krN2D","Nord Stream gas halt 'doesn't help Ukraine,' Slovene PM tells DW ",kiny,"Nord Stream gas halt 'doesn't help Ukraine,' Slovene PM tells DW "
3742,Nigeria: Why presidential hopefuls are cut from the same cloth https://t.co/bvtiWUCC2c,Nigeria: Why presidential hopefuls are cut from the same cloth,kiny,Nigeria: Why presidential hopefuls are cut from the same cloth
3796,#RDC : DEUX ARMES POUR SNIPERS RÉCUPÉRÉES DE MAINS DE #M23_RDF PARS LES #FARDC_OFF LORS DES AFFRONTEMENTS CE WEEK-END À #RUTSHURU AU #NORD_KIVU . CES DEUX FUSILS SONT UNE NOUVELLE PREUVE QUE L'ARMÉE RWANDAISE EST BIEN PRÉSENTE SUR LE SOL CONGOLAIS . https://t.co/iIkGjXCt9X,: DEUX ARMES POUR SNIPERS RÉCUPÉRÉES DE MAINS DE  PARS LES  LORS DES AFFRONTEMENTS CE WEEK-END À  AU  . CES DEUX FUSILS SONT UNE NOUVELLE PREUVE QUE L'ARMÉE RWANDAISE EST BIEN PRÉSENTE SUR LE SOL CONGOLAIS .,fr,: Two weapons for snipers recovered from the hands of pars during the clashes this weekend at AU. These two rifles are new proof that the Rwandan army is present on Congolese soil.
3930,@Conaw @RoamResearch @rcvd_io @hashbrown490 @baibhavbista This is very important and should be well communicated with users. They make choices that change the ratio page refs / block refs / levels and these choices need guidance to get the best experience and reduce performance degradation.,This is very important and should be well communicated with users. They make choices that change the ratio page refs / block refs / levels and these choices need guidance to get the best experience and reduce performance degradation.,kiny,This is very important and should be well communicated with users. They make choices that change the ratio page refs / block refs / levels and these choices need guidance to get the best experience and reduce performance degradation.
4160,"Practical RDF: Solving Problems with the Resource Description Framework [GUEFFHS]

https://t.co/tJrZyNsdoI","Practical RDF: Solving Problems with the Resource Description Framework [GUEFFHS]

",fr,"Practical RDF: Solving Problems with the Resource Description Framework [GUEFFHS]

"
5589,"Nord Stream gas halt 'doesn't help Ukraine at all,' Slovene PM tells DW https://t.co/MyXcsepXoO","Nord Stream gas halt 'doesn't help Ukraine at all,' Slovene PM tells DW ",fr,"Nord Stream gas halt 'doesn't help Ukraine at all,' Slovene PM tells DW "
5601,Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde https://t.co/VN5d0ocoOz,Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde,kiny,They rescue from oblivion the first version of Quijote in Sanskrit 80 years later
6285,"Cultura en #DW 🇩🇪 ""Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde ""https://t.co/ph430scJwm via @dw_espanol","Cultura en  🇩🇪 ""Rescatan del olvido la primera versión del Quijote en sánscrito 80 años más tarde "" via ",fr,"Culture in 🇩🇪 ""They rescue from oblivion the first version of Quijote in Sanskrit 80 years later"" via"
7007,"Las reservas internacionales que tiene el país las pueden ver aquí. https://t.co/Glq4J6807G
A Junio teníamos U$57.164 millones. Vamos a ver eso en manos de Petro cuanto dura. (Pa ese man y su prole esas son peanuts)","Las reservas internacionales que tiene el país las pueden ver aquí. 
A Junio teníamos U$57.164 millones. Vamos a ver eso en manos de Petro cuanto dura. (Pa ese man y su prole esas son peanuts)",fr,"The international reserves that the country can see here.
As June we had US $ 57,164 million. Let's see that in Petro's hands how long it lasts. (For that man and his offspring are peanuts)"
7993,"Germany bolsters defenses against Russian cyber threats
#123INFO
https://t.co/o9lvNrcLII","Germany bolsters defenses against Russian cyber threats

",fr,"Germany bolsters defenses against Russian cyber threats

"
8357,"#انترنت_غير_محدود_ف_مصر
#Unlimited_internet_in_egypt #اقالة_وزير_الاتصالات_عمرو_طلعت
#مقاطعة_وي

. rdf","#انترنت_غير_محدود_ف_مصر
 #اقالة_وزير_الاتصالات_عمرو_طلعت
#مقاطعة_وي

. rdf",kiny,"#Internet is unlimited
 #The dismissal of the Minister of Communications, Amr
#Wei County

. RDF"
8363,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA: Parecer de Redação Final adotado pela CCJC ao PL 1440/ 2019.","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA: Parecer de Redação Final adotado pela CCJC ao PL 1440/ 2019.",fr,"📰 New RDF 1/0 in the Chamber of Deputies, authored by Clarissa Barros Assed Matheus de Oliveira: final writing opinion adopted by CCJC to PL 1440/2019."
8368,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do JOÃO CAMPOS DE ARAÚJO: Aprova o ato que renova a autorização outorgada à Associação Artística e Cultural de Desenvolvimento do Setor Marista Sul para executar serviço de radiodifusão comunitária no Município de Aparecida d...","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do JOÃO CAMPOS DE ARAÚJO: Aprova o ato que renova a autorização outorgada à Associação Artística e Cultural de Desenvolvimento do Setor Marista Sul para executar serviço de radiodifusão comunitária no Município de Aparecida d...",kiny,"📰 New RDF 1/0 in the Chamber of Deputies, authored by João Campos de Araújo: approves the act that renews the authorization granted to the artistic and cultural association of development of the South Marist sector to perform community broadcasting service in the municipality of Aparecida d. .."
8435,"@END70 @KanyanaVanessa @DrMumbogoShyaka @Rugusuki @HarelimanaAK @FabRugumire @HeritierRW @IngabireIm @KalindaMwene Ngoyi, ici au Rwanda, nous n'avons pas besoin de formuler des manipulations. Mon pays est paisible, nous vous le souhaitons également.","        Ngoyi, ici au Rwanda, nous n'avons pas besoin de formuler des manipulations. Mon pays est paisible, nous vous le souhaitons également.",fr,"        Ngoyi, here in Rwanda, we don't need to formulate manipulations. My country is peaceful, we also wish you."
8475,"@Emmanue45576862 @LeVraiPatriote_ @goma24news @StanysBujakera @kabumba_justin @kakese_leon @Bibishe6 @BenitaNtumba @CybelleKamba @Rugusuki @PatrickMuyaya Faux! Nous avons choisis la démocratie comme méthode de régler les comptes aux politiques, pas les armes.
Les politiques constituent un problème et le RDF-M23 constitue un autre problème.
Y a pas dialogue et vous n’allez pas intégrer les FARDC.","          Faux! Nous avons choisis la démocratie comme méthode de régler les comptes aux politiques, pas les armes.
Les politiques constituent un problème et le RDF-M23 constitue un autre problème.
Y a pas dialogue et vous n’allez pas intégrer les FARDC.",fr,"          Fake! We have chosen democracy as a method of setting the accounts to politicians, not weapons.
Politicians are a problem and the RDF-M23 is another problem.
There is no dialogue and you are not going to integrate the FARDC."
8524,Ukraine warns Russia could step up Donetsk offensive — live updates https://t.co/lp9qDcVyhY,Ukraine warns Russia could step up Donetsk offensive — live updates,fr,Ukraine warns Russia could step up Donetsk offensive — live updates
8527,"Erdogan talks grain exports with Putin, Zelenskyy https://t.co/OZEViefbLS","Erdogan talks grain exports with Putin, Zelenskyy ",fr,"Erdogan talks grain exports with Putin, Zelenskyy "
8560,@kayjoe66 @YabaNkosia @EtumesakoPapy @FTwagiramungu Vive le #M23  noyau de base de la future armée du RDC💪,Vive le   noyau de base de la future armée du RDC💪,fr,Long live the basic nucleus of the future army of the DRC💪
8646,"Le Président Rwandais @PaulKagame a promu ses hommes de main dans l’armée. Le porte-parole de #RDF bombardé « général de brigade ». Le chef des renseignements, celui de la garde Républicaine et le « commandant des opérations spéciales » sont promus au grade de « Général Major ».","Le Président Rwandais  a promu ses hommes de main dans l’armée. Le porte-parole de  bombardé « général de brigade ». Le chef des renseignements, celui de la garde Républicaine et le « commandant des opérations spéciales » sont promus au grade de « Général Major ».",fr,"The Rwandan President promoted his henchmen in the army. The spokesperson for bombed ""brigade general"". The head of intelligence, that of the Republican Guard and the ""Special Operations Commander"" are promoted to the rank of ""General Major""."
9653,"NASA reveals James Webb Space Telescope's first image of cosmos
#123INFO
https://t.co/32ij7xiOoW","NASA reveals James Webb Space Telescope's first image of cosmos

",fr,"NASA reveals James Webb Space Telescope's first image of cosmos

"
10123,"Ciencia en #DW 🇩🇪 ""Sus amigos aprecian recibir mensajes suyos mucho más de lo que piensa, según plantea un estudio"" via @dw_espanol https://t.co/qmv48YPLoj","Ciencia en  🇩🇪 ""Sus amigos aprecian recibir mensajes suyos mucho más de lo que piensa, según plantea un estudio"" via  ",fr,"Science in 🇩🇪 ""your friends appreciate receiving your messages much more than you think, according to a study"" via"
10220,"Es prüfe wer sich bindet...

https://t.co/mNgRffhvmb","Es prüfe wer sich bindet...

",fr,"It examines who binds ...

"
10296,"The Secretary General of the International Organisation of Francophonie (OIF), Her Excellency Louise Mushikiwabo yesterday launched a French teaching program for RDF troops that will be deployed for peacekeeping missions in French speaking countries.
https://t.co/ESqFqTbp8R https://t.co/0RuOJZEu2i","The Secretary General of the International Organisation of Francophonie (OIF), Her Excellency Louise Mushikiwabo yesterday launched a French teaching program for RDF troops that will be deployed for peacekeeping missions in French speaking countries.
 ",fr,"The Secretary General of the International Organisation of Francophonie (OIF), Her Excellency Louise Mushikiwabo yesterday launched a French teaching program for RDF troops that will be deployed for peacekeeping missions in French speaking countries.
 "
10344,Disney perderá pronto los derechos de autor del ratón Mickey original https://t.co/cnWNZcDtXZ,Disney perderá pronto los derechos de autor del ratón Mickey original,fr,Disney will soon lose the copyright of the original Mickey mouse
